movieId,title,genres,titles
53,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,indian in the cupboard
54,Eye for an Eye (1996),Drama|Thriller,eye for an eye 
55,Mr. Holland's Opus (1995),Drama,mr. holland's opus 
56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,don't be a menace to south central while drinking your juice in the hood 
57,Two if by Sea (1996),Comedy|Romance,two if by sea 
58,Bio-Dome (1996),Comedy,bio-dome 
59,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,lawnmower man 2: beyond cyberspace 
60,French Twist (Gazon maudit) (1995),Comedy|Romance,french twist 
61,Friday (1995),Comedy,friday 
62,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,from dusk till dawn 
63,Fair Game (1995),Action,fair game 
64,Kicking and Screaming (1995),Comedy|Drama,kicking and screaming 
65,"Misérables, Les (1995)",Drama|War,misérables
66,Bed of Roses (1996),Drama|Romance,bed of roses 
67,Big Bully (1996),Comedy|Drama,big bully 
68,Screamers (1995),Action|Sci-Fi|Thriller,screamers 
69,Nico Icon (1995),Documentary,nico icon 
70,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,crossing guard
71,"Juror, The (1996)",Drama|Thriller,juror
72,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,white balloon
73,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,things to do in denver when you're dead 
74,Antonia's Line (Antonia) (1995),Comedy|Drama,antonia's line 
75,Once Upon a Time... When We Were Colored (1995),Drama|Romance,once upon a time... when we were colored 
76,Angels and Insects (1995),Drama|Romance,angels and insects 
77,White Squall (1996),Action|Adventure|Drama,white squall 
78,Dunston Checks In (1996),Children|Comedy,dunston checks in 
79,Black Sheep (1996),Comedy,black sheep 
80,Nick of Time (1995),Action|Thriller,nick of time 
81,Mary Reilly (1996),Drama|Horror|Thriller,mary reilly 
82,Vampire in Brooklyn (1995),Comedy|Horror|Romance,vampire in brooklyn 
83,Beautiful Girls (1996),Comedy|Drama|Romance,beautiful girls 
84,Broken Arrow (1996),Action|Adventure|Thriller,broken arrow 
85,In the Bleak Midwinter (1995),Comedy|Drama,in the bleak midwinter 
86,"Hate (Haine, La) (1995)",Crime|Drama,hate 
87,Heidi Fleiss: Hollywood Madam (1995),Documentary,heidi fleiss: hollywood madam 
88,City Hall (1996),Drama|Thriller,city hall 
89,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,bottle rocket 
90,Mr. Wrong (1996),Comedy,mr. wrong 
91,Unforgettable (1996),Mystery|Sci-Fi|Thriller,unforgettable 
92,Happy Gilmore (1996),Comedy,happy gilmore 
93,"Bridges of Madison County, The (1995)",Drama|Romance,bridges of madison county
94,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,nobody loves me 
95,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,muppet treasure island 
96,Catwalk (1996),Documentary,catwalk 
97,Braveheart (1995),Action|Drama|War,braveheart 
98,Taxi Driver (1976),Crime|Drama|Thriller,taxi driver 
99,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,rumble in the bronx 
100,Before and After (1996),Drama|Mystery,before and after 
101,Anne Frank Remembered (1995),Documentary,anne frank remembered 
102,"Young Poisoner's Handbook, The (1995)",Crime|Drama,young poisoner's handbook
103,If Lucy Fell (1996),Comedy|Romance,if lucy fell 
104,"Steal Big, Steal Little (1995)",Comedy,steal big
105,"Boys of St. Vincent, The (1992)",Drama,boys of st. vincent
106,Boomerang (1992),Comedy|Romance,boomerang 
107,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,chungking express 
108,Flirting With Disaster (1996),Comedy,flirting with disaster 
109,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,neverending story iii
110,Jupiter's Wife (1994),Documentary,jupiter's wife 
111,Pie in the Sky (1996),Comedy|Romance,pie in the sky 
112,Jade (1995),Thriller,jade 
113,Down Periscope (1996),Comedy,down periscope 
114,Man of the Year (1995),Documentary,man of the year 
115,Up Close and Personal (1996),Drama|Romance,up close and personal 
116,"Birdcage, The (1996)",Comedy,birdcage
117,"Brothers McMullen, The (1995)",Comedy,brothers mcmullen
118,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,bad boys 
119,"Amazing Panda Adventure, The (1995)",Adventure|Children,amazing panda adventure
120,"Basketball Diaries, The (1995)",Drama,basketball diaries
121,"Awfully Big Adventure, An (1995)",Drama,awfully big adventure
122,Amateur (1994),Crime|Drama|Thriller,amateur 
123,Apollo 13 (1995),Adventure|Drama|IMAX,apollo 13 
124,Rob Roy (1995),Action|Drama|Romance|War,rob roy 
125,"Addiction, The (1995)",Drama|Horror,addiction
126,Batman Forever (1995),Action|Adventure|Comedy|Crime,batman forever 
127,Beauty of the Day (Belle de jour) (1967),Drama,beauty of the day 
128,Beyond Rangoon (1995),Adventure|Drama|War,beyond rangoon 
129,Blue in the Face (1995),Comedy|Drama,blue in the face 
130,Canadian Bacon (1995),Comedy|War,canadian bacon 
131,Casper (1995),Adventure|Children,casper 
132,Clockers (1995),Crime|Drama|Mystery,clockers 
133,Congo (1995),Action|Adventure|Mystery|Sci-Fi,congo 
134,Crimson Tide (1995),Drama|Thriller|War,crimson tide 
135,Crumb (1994),Documentary,crumb 
136,Desperado (1995),Action|Romance|Western,desperado 
137,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,devil in a blue dress 
138,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,die hard: with a vengeance 
139,"Doom Generation, The (1995)",Comedy|Crime|Drama,doom generation
140,First Knight (1995),Action|Drama|Romance,first knight 
141,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,free willy 2: the adventure home 
142,Hackers (1995),Action|Adventure|Crime|Thriller,hackers 
143,Jeffrey (1995),Comedy|Drama,jeffrey 
144,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,johnny mnemonic 
145,Judge Dredd (1995),Action|Crime|Sci-Fi,judge dredd 
146,Jury Duty (1995),Comedy,jury duty 
147,Kids (1995),Drama,kids 
148,Living in Oblivion (1995),Comedy,living in oblivion 
149,Lord of Illusions (1995),Horror,lord of illusions 
150,Love & Human Remains (1993),Comedy|Drama,love & human remains 
151,Mad Love (1995),Drama|Romance,mad love 
152,Mallrats (1995),Comedy|Romance,mallrats 
153,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,mighty morphin power rangers: the movie 
154,Mute Witness (1994),Comedy|Horror|Thriller,mute witness 
155,Nadja (1994),Drama,nadja 
156,"Net, The (1995)",Action|Crime|Thriller,net
157,Nine Months (1995),Comedy|Romance,nine months 
158,Party Girl (1995),Comedy,party girl 
159,"Prophecy, The (1995)",Fantasy|Horror|Mystery,prophecy
160,Reckless (1995),Comedy|Fantasy,reckless 
161,Safe (1995),Thriller,safe 
162,"Scarlet Letter, The (1995)",Drama|Romance,scarlet letter
163,Showgirls (1995),Drama,showgirls 
164,Smoke (1995),Comedy|Drama,smoke 
165,Something to Talk About (1995),Comedy|Drama|Romance,something to talk about 
166,Species (1995),Horror|Sci-Fi,species 
167,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,strange days 
168,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,umbrellas of cherbourg
169,Three Wishes (1995),Drama|Fantasy,three wishes 
170,Total Eclipse (1995),Drama|Romance,total eclipse 
171,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,to wong foo
172,Under Siege 2: Dark Territory (1995),Action,under siege 2: dark territory 
173,Unstrung Heroes (1995),Comedy|Drama,unstrung heroes 
174,Unzipped (1995),Documentary,unzipped 
175,"Walk in the Clouds, A (1995)",Drama|Romance,walk in the clouds
176,Waterworld (1995),Action|Adventure|Sci-Fi,waterworld 
177,White Man's Burden (1995),Drama,white man's burden 
178,Wild Bill (1995),Western,wild bill 
179,"Browning Version, The (1994)",Drama,browning version
180,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,bushwhacked 
181,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,burnt by the sun 
182,Before the Rain (Pred dozhdot) (1994),Drama|War,before the rain 
183,Before Sunrise (1995),Drama|Romance,before sunrise 
184,Billy Madison (1995),Comedy,billy madison 
185,"Babysitter, The (1995)",Drama|Thriller,babysitter
186,Boys on the Side (1995),Comedy|Drama,boys on the side 
187,"Cure, The (1995)",Drama,cure
188,Castle Freak (1995),Horror,castle freak 
189,Circle of Friends (1995),Drama|Romance,circle of friends 
190,Clerks (1994),Comedy,clerks 
191,Don Juan DeMarco (1995),Comedy|Drama|Romance,don juan demarco 
192,Disclosure (1994),Drama|Thriller,disclosure 
193,Drop Zone (1994),Action|Thriller,drop zone 
194,Destiny Turns on the Radio (1995),Comedy,destiny turns on the radio 
195,Death and the Maiden (1994),Drama|Thriller,death and the maiden 
196,Dolores Claiborne (1995),Drama|Thriller,dolores claiborne 
197,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,dumb & dumber 
198,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,eat drink man woman 
199,Exotica (1994),Drama,exotica 
200,Exit to Eden (1994),Comedy,exit to eden 
201,Ed Wood (1994),Comedy|Drama,ed wood 
202,French Kiss (1995),Action|Comedy|Romance,french kiss 
203,Forget Paris (1995),Comedy|Romance,forget paris 
204,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,far from home: the adventures of yellow dog 
205,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,goofy movie
206,Hideaway (1995),Thriller,hideaway 
207,Fluke (1995),Children|Drama,fluke 
208,Farinelli: il castrato (1994),Drama|Musical,farinelli: il castrato 
209,Gordy (1995),Children|Comedy|Fantasy,gordy 
210,Hoop Dreams (1994),Documentary,hoop dreams 
211,Heavenly Creatures (1994),Crime|Drama,heavenly creatures 
212,Houseguest (1994),Comedy,houseguest 
213,Immortal Beloved (1994),Drama|Romance,immortal beloved 
214,Heavyweights (Heavy Weights) (1995),Children|Comedy,heavyweights 
215,"Hunted, The (1995)",Action,hunted
216,I.Q. (1994),Comedy|Romance,i.q. 
217,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,interview with the vampire: the vampire chronicles 
218,Jefferson in Paris (1995),Drama,jefferson in paris 
219,"Jerky Boys, The (1995)",Comedy,jerky boys
220,Junior (1994),Comedy|Sci-Fi,junior 
221,Just Cause (1995),Mystery|Thriller,just cause 
222,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,kid in king arthur's court
223,Kiss of Death (1995),Crime|Drama|Thriller,kiss of death 
224,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,star wars: episode iv - a new hope 
225,Little Women (1994),Drama,little women 
226,"Little Princess, A (1995)",Children|Drama,little princess
227,Ladybird Ladybird (1994),Drama,ladybird ladybird 
228,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,like water for chocolate 
229,Legends of the Fall (1994),Drama|Romance|War|Western,legends of the fall 
230,Major Payne (1995),Comedy,major payne 
231,My Crazy Life (Mi vida loca) (1993),Drama,my crazy life 
232,Love Affair (1994),Drama|Romance,love affair 
233,Losing Isaiah (1995),Drama,losing isaiah 
234,"Madness of King George, The (1994)",Comedy|Drama,madness of king george
235,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,mary shelley's frankenstein 
236,Man of the House (1995),Comedy,man of the house 
237,Mixed Nuts (1994),Comedy,mixed nuts 
238,Milk Money (1994),Comedy|Romance,milk money 
239,Miracle on 34th Street (1994),Drama,miracle on 34th street 
240,Miami Rhapsody (1995),Comedy,miami rhapsody 
241,My Family (1995),Drama,my family 
242,Murder in the First (1995),Drama|Thriller,murder in the first 
243,Nobody's Fool (1994),Comedy|Drama|Romance,nobody's fool 
244,Nell (1994),Drama,nell 
245,New Jersey Drive (1995),Crime|Drama,new jersey drive 
246,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,new york cop 
247,Beyond Bedlam (1993),Drama|Horror,beyond bedlam 
248,Nina Takes a Lover (1994),Comedy|Romance,nina takes a lover 
249,Natural Born Killers (1994),Action|Crime|Thriller,natural born killers 
250,Only You (1994),Comedy|Romance,only you 
251,Once Were Warriors (1994),Crime|Drama,once were warriors 
252,Poison Ivy II (1996),Drama|Thriller,poison ivy ii 
253,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,outbreak 
254,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,léon: the professional 
255,"Perez Family, The (1995)",Comedy|Romance,perez family
256,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,pyromaniac's love story
257,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,pulp fiction 
258,Pushing Hands (Tui shou) (1992),Drama,pushing hands 
259,Priest (1994),Drama,priest 
260,Quiz Show (1994),Drama,quiz show 
261,Picture Bride (Bijo photo) (1994),Drama|Romance,picture bride 
262,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,queen margot 
263,"Quick and the Dead, The (1995)",Action|Thriller|Western,quick and the dead
264,Roommates (1995),Comedy|Drama,roommates 
265,Ready to Wear (Pret-A-Porter) (1994),Comedy,ready to wear 
266,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,three colors: red 
267,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,three colors: blue 
268,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,three colors: white 
269,Rent-a-Kid (1995),Comedy,rent-a-kid 
270,Relative Fear (1994),Horror|Thriller,relative fear 
271,Stuart Saves His Family (1995),Comedy,stuart saves his family 
272,"Swan Princess, The (1994)",Animation|Children,swan princess
273,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,secret of roan inish
274,"Specialist, The (1994)",Action|Drama|Thriller,specialist
275,Stargate (1994),Action|Adventure|Sci-Fi,stargate 
276,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,santa clause
277,"Shawshank Redemption, The (1994)",Crime|Drama,shawshank redemption
278,Shallow Grave (1994),Comedy|Drama|Thriller,shallow grave 
279,Suture (1993),Film-Noir|Thriller,suture 
280,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,strawberry and chocolate 
281,Swimming with Sharks (1995),Comedy|Drama,swimming with sharks 
282,"Sum of Us, The (1994)",Comedy|Drama,sum of us
283,National Lampoon's Senior Trip (1995),Comedy,national lampoon's senior trip 
284,To Live (Huozhe) (1994),Drama,to live 
285,Tank Girl (1995),Action|Comedy|Sci-Fi,tank girl 
286,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,tales from the crypt presents: demon knight 
287,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,star trek: generations 
288,Tales from the Hood (1995),Action|Crime|Horror,tales from the hood 
289,Tom & Viv (1994),Drama,tom & viv 
290,Village of the Damned (1995),Horror|Sci-Fi,village of the damned 
291,Tommy Boy (1995),Comedy,tommy boy 
292,Vanya on 42nd Street (1994),Drama,vanya on 42nd street 
293,Underneath (1995),Mystery|Thriller,underneath 
294,"Walking Dead, The (1995)",Drama|War,walking dead
295,What's Eating Gilbert Grape (1993),Drama,what's eating gilbert grape 
296,Virtuosity (1995),Action|Sci-Fi|Thriller,virtuosity 
297,While You Were Sleeping (1995),Comedy|Romance,while you were sleeping 
298,"War, The (1994)",Adventure|Drama|War,war
299,Double Happiness (1994),Drama,double happiness 
300,Muriel's Wedding (1994),Comedy,muriel's wedding 
301,"Baby-Sitters Club, The (1995)",Children,baby-sitters club
302,Ace Ventura: Pet Detective (1994),Comedy,ace ventura: pet detective 
303,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,adventures of priscilla
304,Backbeat (1993),Drama|Musical,backbeat 
305,Bitter Moon (1992),Drama|Film-Noir|Romance,bitter moon 
306,Bullets Over Broadway (1994),Comedy,bullets over broadway 
307,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,clear and present danger 
308,"Client, The (1994)",Drama|Mystery|Thriller,client
309,"Corrina, Corrina (1994)",Comedy|Drama|Romance,corrina
310,Crooklyn (1994),Comedy|Drama,crooklyn 
311,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,crow
312,Cobb (1994),Drama,cobb 
313,"Flintstones, The (1994)",Children|Comedy|Fantasy,flintstones
314,Forrest Gump (1994),Comedy|Drama|Romance|War,forrest gump 
315,Four Weddings and a Funeral (1994),Comedy|Romance,four weddings and a funeral 
316,Higher Learning (1995),Drama,higher learning 
317,I Like It Like That (1994),Comedy|Drama|Romance,i like it like that 
318,I Love Trouble (1994),Action|Comedy,i love trouble 
319,It Could Happen to You (1994),Comedy|Drama|Romance,it could happen to you 
320,"Jungle Book, The (1994)",Adventure|Children|Romance,jungle book
321,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,wonderful
322,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,lion king
323,Little Buddha (1993),Drama,little buddha 
324,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,wes craven's new nightmare 
325,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,mask
326,Maverick (1994),Adventure|Comedy|Western,maverick 
327,Mrs. Parker and the Vicious Circle (1994),Drama,mrs. parker and the vicious circle 
328,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,naked gun 33 1/3: the final insult 
329,"Paper, The (1994)",Comedy|Drama,paper
330,Reality Bites (1994),Comedy|Drama|Romance,reality bites 
331,Red Rock West (1992),Thriller,red rock west 
332,Richie Rich (1994),Children|Comedy,richie rich 
333,"River Wild, The (1994)",Action|Thriller,river wild
334,Speed (1994),Action|Romance|Thriller,speed 
335,Speechless (1994),Comedy|Romance,speechless 
336,Timecop (1994),Action|Sci-Fi|Thriller,timecop 
337,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,true lies 
338,When a Man Loves a Woman (1994),Drama|Romance,when a man loves a woman 
339,Wolf (1994),Drama|Horror|Romance|Thriller,wolf 
340,Wyatt Earp (1994),Western,wyatt earp 
341,Bad Company (1995),Action|Crime|Drama,bad company 
342,"Man of No Importance, A (1994)",Drama,man of no importance
343,S.F.W. (1994),Drama,s.f.w. 
344,"Low Down Dirty Shame, A (1994)",Action|Comedy,low down dirty shame
345,Boys Life (1995),Drama,boys life 
346,"Colonel Chabert, Le (1994)",Drama|Romance|War,colonel chabert
347,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,faster pussycat! kill! kill! 
348,Jason's Lyric (1994),Crime|Drama,jason's lyric 
349,Street Fighter (1994),Action|Adventure|Fantasy,street fighter 
350,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,highlander iii: the sorcerer 
351,Federal Hill (1994),Drama,federal hill 
352,In the Mouth of Madness (1995),Horror|Thriller,in the mouth of madness 
353,8 Seconds (1994),Drama,8 seconds 
354,Above the Rim (1994),Crime|Drama,above the rim 
355,Addams Family Values (1993),Children|Comedy|Fantasy,addams family values 
356,"Age of Innocence, The (1993)",Drama,age of innocence
357,Airheads (1994),Comedy,airheads 
358,"Air Up There, The (1994)",Comedy,air up there
359,Another Stakeout (1993),Comedy|Thriller,another stakeout 
360,Bad Girls (1994),Western,bad girls 
361,Barcelona (1994),Comedy|Romance,barcelona 
362,Being Human (1993),Drama,being human 
363,"Beverly Hillbillies, The (1993)",Comedy,beverly hillbillies
364,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,beverly hills cop iii 
365,Black Beauty (1994),Adventure|Children|Drama,black beauty 
366,Blink (1994),Thriller,blink 
367,Blown Away (1994),Action|Thriller,blown away 
368,Blue Chips (1994),Drama,blue chips 
369,Blue Sky (1994),Drama|Romance,blue sky 
370,Body Snatchers (1993),Horror|Sci-Fi|Thriller,body snatchers 
371,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,boxing helena 
372,"Bronx Tale, A (1993)",Drama,bronx tale
373,Cabin Boy (1994),Comedy,cabin boy 
374,Calendar Girl (1993),Comedy|Drama,calendar girl 
375,Carlito's Way (1993),Crime|Drama,carlito's way 
376,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,city slickers ii: the legend of curly's gold 
377,Clean Slate (1994),Comedy,clean slate 
378,Cliffhanger (1993),Action|Adventure|Thriller,cliffhanger 
379,Coneheads (1993),Comedy|Sci-Fi,coneheads 
380,Color of Night (1994),Drama|Thriller,color of night 
381,Cops and Robbersons (1994),Comedy,cops and robbersons 
382,"Cowboy Way, The (1994)",Action|Comedy|Drama,cowboy way
383,Dave (1993),Comedy|Romance,dave 
384,Dazed and Confused (1993),Comedy,dazed and confused 
385,Demolition Man (1993),Action|Adventure|Sci-Fi,demolition man 
386,Even Cowgirls Get the Blues (1993),Comedy|Romance,even cowgirls get the blues 
387,Fatal Instinct (1993),Comedy,fatal instinct 
388,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,farewell my concubine 
389,Fearless (1993),Drama,fearless 
390,Fear of a Black Hat (1994),Comedy,fear of a black hat 
391,With Honors (1994),Comedy|Drama,with honors 
392,Flesh and Bone (1993),Drama|Mystery|Romance,flesh and bone 
393,Widows' Peak (1994),Drama,widows' peak 
394,For Love or Money (1993),Comedy|Romance,for love or money 
395,"Firm, The (1993)",Drama|Thriller,firm
396,Free Willy (1993),Adventure|Children|Drama,free willy 
397,Fresh (1994),Crime|Drama|Thriller,fresh 
398,"Fugitive, The (1993)",Thriller,fugitive
399,Geronimo: An American Legend (1993),Drama|Western,geronimo: an american legend 
400,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,getaway
401,Getting Even with Dad (1994),Comedy,getting even with dad 
402,Go Fish (1994),Drama|Romance,go fish 
403,Hard Target (1993),Action|Adventure|Crime|Thriller,hard target 
404,Hot Shots! Part Deux (1993),Action|Comedy|War,hot shots! part deux 
405,Live Nude Girls (1995),Comedy,live nude girls 
406,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,englishman who went up a hill but came down a mountain
407,"House of the Spirits, The (1993)",Drama|Romance,house of the spirits
408,House Party 3 (1994),Comedy,house party 3 
409,"Hudsucker Proxy, The (1994)",Comedy,hudsucker proxy
410,I'll Do Anything (1994),Comedy|Drama,i'll do anything 
411,In the Army Now (1994),Comedy|War,in the army now 
412,In the Line of Fire (1993),Action|Thriller,in the line of fire 
413,In the Name of the Father (1993),Drama,in the name of the father 
414,"Inkwell, The (1994)",Comedy|Drama,inkwell
415,What's Love Got to Do with It? (1993),Drama|Musical,what's love got to do with it? 
416,Jimmy Hollywood (1994),Comedy|Crime|Drama,jimmy hollywood 
417,Judgment Night (1993),Action|Crime|Thriller,judgment night 
418,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,jurassic park 
419,Kalifornia (1993),Drama|Thriller,kalifornia 
420,Killing Zoe (1994),Crime|Drama|Thriller,killing zoe 
421,Lassie (1994),Adventure|Children,lassie 
422,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,last action hero 
423,Life with Mikey (1993),Comedy,life with mikey 
424,Lightning Jack (1994),Comedy|Western,lightning jack 
425,M. Butterfly (1993),Drama|Romance,m. butterfly 
426,Made in America (1993),Comedy,made in america 
427,Malice (1993),Thriller,malice 
428,"Man Without a Face, The (1993)",Drama,man without a face
429,Manhattan Murder Mystery (1993),Comedy|Mystery,manhattan murder mystery 
430,Menace II Society (1993),Action|Crime|Drama,menace ii society 
431,Executive Decision (1996),Action|Adventure|Thriller,executive decision 
432,In the Realm of the Senses (Ai no corrida) (1976),Drama,in the realm of the senses 
433,What Happened Was... (1994),Comedy|Drama|Romance|Thriller,what happened was... 
434,Much Ado About Nothing (1993),Comedy|Romance,much ado about nothing 
435,Mr. Wonderful (1993),Comedy|Romance,mr. wonderful 
436,Mrs. Doubtfire (1993),Comedy|Drama,mrs. doubtfire 
437,Naked (1993),Drama,naked 
438,"Next Karate Kid, The (1994)",Action|Children|Romance,next karate kid
439,No Escape (1994),Action|Drama|Sci-Fi,no escape 
440,North (1994),Comedy,north 
441,Orlando (1992),Drama|Fantasy|Romance,orlando 
442,"Perfect World, A (1993)",Crime|Drama|Thriller,perfect world
443,Philadelphia (1993),Drama,philadelphia 
444,"Piano, The (1993)",Drama|Romance,piano
